width,max_num_blocks,num_nodes,required_bits_lowerbound,required_bits_upperbound
64,16,1911,3822,6144
64,16,2048,4096,7744
64,16,2195,4390,9344
64,16,2353,4706,9536
64,16,2522,5044,9920
64,16,2703,5406,10240
64,16,2897,5794,10688
64,16,3105,6210,11136
64,16,3327,6654,11392
64,16,3566,7132,12032
64,16,3822,7644,13888
64,16,4096,8192,14880
64,16,4390,8780,18144
64,16,4706,9412,19456
64,16,5043,10086,19968
64,16,5405,10810,20800
64,16,5793,11586,21504
64,16,6209,12418,22272
64,16,6654,13308,23296
64,16,7132,14264,24928
64,16,7644,15288,27232
64,16,8192,16384,30880
64,16,8780,17560,35264
64,16,9411,18822,38432
64,16,10086,20172,40384
64,16,10810,21620,41664
64,16,11586,23172,43584
64,16,12417,24834,45248
64,16,13308,26616,46912
64,16,14264,28528,49440
64,16,15287,30574,57536
64,16,16384,32768,63776
64,16,17560,35120,70912
64,16,18821,37642,76448
64,16,20172,40344,80544
64,16,21619,43238,83904
64,16,23171,46342,86912
64,16,24834,49668,89920
64,16,26616,53232,94912
64,16,28527,57054,100224
64,16,30574,61148,112064
64,16,32768,65536,124832
64,16,35120,70240,137792
64,16,37641,75282,152544
64,16,40343,80686,161088
64,16,43238,86476,167680
64,16,46341,92682,174272
64,16,49668,99336,181536
64,16,53232,106464,190656
64,16,57053,114106,206272
64,16,61148,122296,227520
64,16,65536,131072,249568
64,16,70240,140480,277440
64,16,75282,150564,305792
64,16,80685,161370,322432
64,16,86476,172952,336512
64,16,92682,185364,348992
64,16,99335,198670,363200
64,16,106464,212928,382720
64,16,114105,228210,413248
64,16,122295,244590,452640
64,16,131072,262144,496160
64,16,140480,280960,552960
64,16,150563,301126,602336
64,16,161369,322738,644832
64,16,172951,345902,673344
64,16,185364,370728,698336
64,16,198669,397338,728640
64,16,212928,425856,774208
64,16,228210,456420,832480
64,16,244589,489178,907616
64,16,262144,524288,996032
64,16,280960,561920,1097120
64,16,301125,602250,1203840
64,16,322737,645474,1280992
64,16,345901,691802,1341472
64,16,370728,741456,1398784
64,16,397337,794674,1463424
64,16,425855,851710,1551936
64,16,456419,912838,1669056
64,16,489178,978356,1814784
64,16,524288,1048576,2012544
64,16,561919,1123838,2198176
64,16,602250,1204500,2396736
64,16,645474,1290948,2556736
64,16,691802,1383604,2680864
64,16,741456,1482912,2796512
64,16,794673,1589346,2933984
64,16,851709,1703418,3112000
64,16,912838,1825676,3348928
64,16,978356,1956712,3656896
64,16,1048576,2097152,4009184
64,16,1123837,2247674,4379200
64,16,1204499,2408998,4767872
64,16,1290948,2581896,5088448
64,16,1383604,2767208,5357664
64,16,1482911,2965822,5599808
64,16,1589345,3178690,5876288
64,16,1703418,3406836,6252160
64,16,1825676,3651352,6715360
64,16,1956712,3913424,7307616
64,16,2097152,4194304,8020800
64,16,2247673,4495346,8770656
64,16,2408997,4817994,9498944
64,16,2581896,5163792,10152128
